userId: recommendations in (itemId, ranking score) pairs, * means the item is hit.
81303: (480,2.7587850093841553) (2571,2.704293727874756) (260,2.6914567947387695) (589,2.681854248046875) (1196,2.6773288249969482) (2858,2.655289888381958) (2916,2.645723342895508) (1580,2.6338887214660645) (1270,2.5539801120758057) (2762,2.5181007385253906) (1197,2.4813919067382812) (2716,2.4765515327453613) (3578,2.451266050338745) (593,2.4204559326171875) (1265,2.4096245765686035) (1240,2.4058146476745605) (1097,2.383277416229248) (457,2.3805959224700928) (377,2.353505849838257) (2396,2.3477606773376465)
79880: (2858,3.5718421936035156)* (1197,3.3245816230773926)* (2716,3.2646408081054688)* (1198,3.2418603897094727)* (2396,3.170504093170166)* (608,3.1608293056488037) (296,3.1240687370300293)* (1127,3.078915596008301) (1214,3.062549591064453)* (377,3.057912826538086)* (2355,2.985957145690918) (2997,2.984225273132324)* (1291,2.9709157943725586)* (50,2.9238927364349365)* (2797,2.85587739944458) (380,2.8402910232543945)* (3114,2.8355460166931152) (34,2.8350367546081543) (1387,2.807438611984253)* (2699,2.802772045135498)*
80346: (480,2.5177862644195557) (589,2.4337010383605957)* (2916,2.428513526916504)* (2628,2.421766757965088)* (2858,2.37492036819458)* (1270,2.302020788192749) (2762,2.279236316680908) (2716,2.2536134719848633) (1197,2.2353687286376953) (780,2.2254652976989746)* (356,2.2117085456848145) (1,2.177945375442505) (1240,2.1755592823028564) (1265,2.16892671585083) (377,2.165440082550049) (457,2.165438652038574)* (1127,2.1449663639068604)* (648,2.1128411293029785)* (2355,2.109609842300415) (2396,2.0932326316833496)
82400: (1196,2.0705156326293945) (260,2.0138297080993652) (593,1.961330771446228)* (1270,1.88935124874115)* (1210,1.8812122344970703) (527,1.8785583972930908) (2396,1.8758985996246338) (1197,1.8642630577087402) (318,1.8521614074707031) (1097,1.8310964107513428) (1193,1.8251185417175293) (912,1.8110977411270142)* (924,1.8094441890716553) (2997,1.7989788055419922)* (1304,1.7891860008239746) (1265,1.7890210151672363) (1136,1.7860277891159058) (589,1.7765123844146729) (1230,1.7633051872253418)* (34,1.7622599601745605)
80018: (593,2.561522960662842)* (1210,2.505443811416626) (1198,2.502373218536377)* (1270,2.5012078285217285)* (1097,2.4097697734832764) (1265,2.367832660675049) (2571,2.3384311199188232) (480,2.335050106048584) (110,2.3203372955322266) (1259,2.2995855808258057) (912,2.241298198699951)* (356,2.2309484481811523) (1304,2.227949857711792) (1,2.2124156951904297) (1225,2.1982007026672363) (1307,2.1951828002929688) (2716,2.1881308555603027) (2791,2.175234794616699) (1580,2.1665282249450684) (1387,2.1576037406921387)*
82414: (356,2.5411858558654785)* (1265,2.5325093269348145)* (3578,2.523453950881958)* (1240,2.5154080390930176)* (1610,2.393097162246704) (527,2.349942684173584)* (2987,2.3487584590911865)* (1291,2.3376247882843018) (2000,2.307594060897827) (3175,2.2885332107543945)* (858,2.2643985748291016) (1259,2.2578911781311035) (592,2.2435784339904785) (1923,2.227701187133789)* (34,2.221205711364746) (588,2.2029829025268555) (1387,2.1967501640319824) (3527,2.1786627769470215) (1374,2.1748228073120117) (3793,2.1675755977630615)*
82363: (1196,2.9941177368164062) (2858,2.9812684059143066) (480,2.936326026916504) (1270,2.8228278160095215) (1580,2.783140182495117) (2028,2.780890464782715) (2628,2.7743945121765137) (2916,2.7725095748901367) (110,2.766500949859619) (1197,2.7535195350646973) (2762,2.751282215118408) (593,2.7382774353027344) (1198,2.7044267654418945) (608,2.6773478984832764) (1265,2.6699113845825195) (2716,2.6636404991149902) (1097,2.661492347717285) (356,2.6513917446136475) (2396,2.6500906944274902) (296,2.6126856803894043)
83966: (1196,2.7064197063446045) (260,2.6878299713134766) (480,2.5787792205810547) (589,2.567680835723877) (2571,2.5521650314331055) (1270,2.5427615642547607) (1197,2.4858760833740234)* (2028,2.4795732498168945) (608,2.4754834175109863) (110,2.460622549057007) (1198,2.4600672721862793) (2762,2.455239772796631) (1580,2.437002182006836) (2628,2.416790246963501) (2916,2.4150023460388184) (2396,2.411327838897705)* (1097,2.4105772972106934) (1265,2.4060537815093994)* (296,2.378889560699463) (1240,2.36395525932312)
84348: (2858,2.6046218872070312) (608,2.4539170265197754) (589,2.3958120346069336) (1198,2.3810715675354004) (480,2.3776044845581055) (2028,2.332524061203003) (1097,2.3166770935058594)* (2762,2.314887762069702)* (110,2.3049514293670654) (296,2.303528308868408) (1265,2.2971549034118652)* (1617,2.2888970375061035) (527,2.2816054821014404) (858,2.2645533084869385) (318,2.258759021759033) (1240,2.238645076751709) (1580,2.2289183139801025) (2997,2.220313787460327) (541,2.216384172439575) (1214,2.208571195602417)
79856: (1196,3.168971538543701)* (2858,3.141007423400879)* (1210,3.1358251571655273)* (2916,3.107785701751709)* (2628,3.103905439376831)* (1270,3.021299362182617) (356,2.8789827823638916) (1265,2.8490023612976074)* (1198,2.8457236289978027)* (1127,2.76296329498291)* (608,2.73838472366333)* (296,2.7378451824188232)* (2355,2.6995937824249268)* (733,2.6393165588378906)* (2000,2.6154956817626953)* (3175,2.610124349594116) (2797,2.520160675048828)* (2683,2.494723320007324)* (2706,2.4758450984954834) (1784,2.4652931690216064)
83855: (480,2.6187243461608887)* (1196,2.589813470840454)* (2858,2.5600171089172363)* (589,2.553805351257324)* (1210,2.5494399070739746)* (1580,2.4946017265319824)* (1270,2.462750196456909)* (3578,2.315521717071533)* (1240,2.312889575958252)* (1,2.302070379257202) (2396,2.2666468620300293)* (1610,2.20645809173584)* (2355,2.173029899597168) (2987,2.1660096645355225)* (1200,2.148649215698242)* (527,2.143044948577881) (318,2.1412670612335205) (2997,2.132230758666992)* (733,2.1127395629882812)* (380,2.1037917137145996)*
85103: (480,1.715487003326416)* (2571,1.6777093410491943) (260,1.671648383140564) (589,1.6639906167984009) (1196,1.6624817848205566) (1210,1.650692105293274) (2916,1.6459286212921143) (2628,1.6435045003890991) (1580,1.6376309394836426) (1270,1.5863782167434692) (110,1.5827912092208862) (2028,1.581030249595642) (2762,1.564420461654663)* (1197,1.541677713394165) (2716,1.538500428199768) (3578,1.5224655866622925) (356,1.514918327331543) (780,1.5017287731170654) (593,1.5002965927124023) (1265,1.4957211017608643)
